V (V), Freq (Hz), C (F), G (S)
-1.0,1000.0,-1.454488e-13,2.634136e-11
0.0,1000.0,-1.629884e-13,-3.935523e-11
1.0,1000.0,-1.155058e-13,3.774575e-11
