V (V), Freq (Hz), C (F), G (S)
-3.0,1000.0,1.177955e-10,1.708125e-07
-2.95,1000.0,1.177013e-10,1.484016e-07
-2.9000000000000004,1000.0,1.178356e-10,1.255502e-07
-2.8500000000000005,1000.0,1.179137e-10,1.06759e-07
-2.8000000000000007,1000.0,1.18064e-10,8.981221e-08
-2.750000000000001,1000.0,1.182975e-10,7.668309e-08
-2.700000000000001,1000.0,1.18536e-10,6.549791e-08
-2.6500000000000012,1000.0,1.18803e-10,5.666496e-08
-2.6000000000000014,1000.0,1.190734e-10,4.932892e-08
-2.5500000000000016,1000.0,1.192959e-10,4.347095e-08
-2.5000000000000018,1000.0,1.195786e-10,3.846877e-08
-2.450000000000002,1000.0,1.199058e-10,3.37862e-08
-2.400000000000002,1000.0,1.201693e-10,3.06346e-08
-2.3500000000000023,1000.0,1.205167e-10,2.825355e-08
-2.3000000000000025,1000.0,1.210515e-10,2.537274e-08
-2.2500000000000027,1000.0,1.213562e-10,2.369958e-08
-2.200000000000003,1000.0,1.21608e-10,2.207021e-08
-2.150000000000003,1000.0,1.219525e-10,2.076941e-08
-2.100000000000003,1000.0,1.223026e-10,1.995049e-08
-2.0500000000000034,1000.0,1.227368e-10,1.92631e-08
-2.0000000000000036,1000.0,1.231035e-10,1.847218e-08
-1.9500000000000037,1000.0,1.234108e-10,1.820598e-08
-1.900000000000004,1000.0,1.238257e-10,1.780359e-08
-1.850000000000004,1000.0,1.243076e-10,1.830026e-08
-1.8000000000000043,1000.0,1.246976e-10,1.810939e-08
-1.7500000000000044,1000.0,1.25117e-10,1.833918e-08
-1.7000000000000046,1000.0,1.255453e-10,1.862474e-08
-1.6500000000000048,1000.0,1.259636e-10,1.880495e-08
-1.600000000000005,1000.0,1.263816e-10,1.89367e-08
-1.5500000000000052,1000.0,1.268296e-10,1.916036e-08
-1.5000000000000053,1000.0,1.272499e-10,1.976886e-08
-1.4500000000000055,1000.0,1.276365e-10,1.977136e-08
-1.4000000000000057,1000.0,1.280457e-10,2.028355e-08
-1.3500000000000059,1000.0,1.284061e-10,2.052721e-08
-1.300000000000006,1000.0,1.287479e-10,2.047141e-08
-1.2500000000000062,1000.0,1.291505e-10,2.079976e-08
-1.2000000000000064,1000.0,1.294161e-10,2.086314e-08
-1.1500000000000066,1000.0,1.297766e-10,2.079825e-08
-1.1000000000000068,1000.0,1.30043e-10,2.140093e-08
-1.050000000000007,1000.0,1.303895e-10,2.068202e-08
-1.000000000000007,1000.0,1.306274e-10,2.050054e-08
-0.9500000000000073,1000.0,1.309429e-10,2.026351e-08
-0.9000000000000075,1000.0,1.312072e-10,2.008247e-08
-0.8500000000000076,1000.0,1.315506e-10,1.968193e-08
-0.8000000000000078,1000.0,1.31826e-10,1.875283e-08
-0.750000000000008,1000.0,1.321937e-10,1.904205e-08
-0.7000000000000082,1000.0,1.325627e-10,1.864294e-08
-0.6500000000000083,1000.0,1.3304e-10,1.826771e-08
-0.6000000000000085,1000.0,1.334817e-10,1.813942e-08
-0.5500000000000087,1000.0,1.341388e-10,1.795878e-08
-0.5000000000000089,1000.0,1.347584e-10,1.787959e-08
-0.45000000000000906,1000.0,1.354973e-10,1.815745e-08
-0.40000000000000924,1000.0,1.364125e-10,1.795784e-08
-0.3500000000000094,1000.0,1.37452e-10,1.828917e-08
-0.3000000000000096,1000.0,1.386563e-10,1.874836e-08
-0.25000000000000977,1000.0,1.401143e-10,1.890741e-08
-0.20000000000000995,1000.0,1.418306e-10,2.02778e-08
-0.15000000000001013,1000.0,1.437207e-10,2.112448e-08
-0.1000000000000103,1000.0,1.458329e-10,2.174605e-08
-0.05000000000001048,1000.0,1.482176e-10,2.351005e-08
-1.0658141036401503e-14,1000.0,1.505947e-10,2.423078e-08
0.049999999999989164,1000.0,1.531654e-10,2.521983e-08
0.09999999999998899,1000.0,1.556279e-10,2.65403e-08
0.1499999999999888,1000.0,1.574571e-10,2.692957e-08
0.19999999999998863,1000.0,1.583386e-10,2.652043e-08
0.24999999999998845,1000.0,1.583621e-10,2.588065e-08
0.2999999999999883,1000.0,1.576329e-10,2.43564e-08
0.3499999999999881,1000.0,1.564259e-10,2.311953e-08
0.3999999999999879,1000.0,1.549188e-10,2.12606e-08
0.44999999999998774,1000.0,1.531611e-10,1.995521e-08
0.49999999999998757,1000.0,1.513281e-10,1.835137e-08
0.5499999999999874,1000.0,1.49385e-10,1.73563e-08
0.5999999999999872,1000.0,1.213418e-10,1.288372e-08
0.649999999999987,1000.0,1.19493e-10,1.238759e-08
0.6999999999999869,1000.0,1.182447e-10,1.220887e-08
0.7499999999999867,1000.0,1.170101e-10,1.158414e-08
0.7999999999999865,1000.0,1.15892e-10,1.115373e-08
0.8499999999999863,1000.0,1.147681e-10,1.072032e-08
0.8999999999999861,1000.0,1.137704e-10,1.033737e-08
0.949999999999986,1000.0,1.127094e-10,1.03167e-08
0.9999999999999858,1000.0,1.117526e-10,9.693387e-09
1.0499999999999856,1000.0,1.108331e-10,9.446474e-09
1.0999999999999854,1000.0,1.099088e-10,9.29072e-09
1.1499999999999853,1000.0,1.090032e-10,9.211688e-09
1.199999999999985,1000.0,1.081926e-10,9.03422e-09
1.249999999999985,1000.0,1.073732e-10,9.032466e-09
1.2999999999999847,1000.0,1.065667e-10,9.118155e-09
1.3499999999999845,1000.0,1.058811e-10,9.249068e-09
1.3999999999999844,1000.0,1.05107e-10,9.157451e-09
1.4499999999999842,1000.0,1.042046e-10,9.317813e-09
1.499999999999984,1000.0,1.032926e-10,9.147534e-09
1.5499999999999838,1000.0,1.022931e-10,9.473713e-09
1.5999999999999837,1000.0,1.012342e-10,9.959817e-09
1.6499999999999835,1000.0,9.996305e-11,1.041271e-08
1.6999999999999833,1000.0,9.860179e-11,1.068129e-08
1.7499999999999831,1000.0,9.712493e-11,1.206634e-08
1.799999999999983,1000.0,9.566137e-11,1.317923e-08
1.8499999999999828,1000.0,9.41976e-11,1.487495e-08
1.8999999999999826,1000.0,9.273637e-11,1.656105e-08
1.9499999999999824,1000.0,9.138025e-11,1.889987e-08
1.9999999999999822,1000.0,9.00288e-11,2.171623e-08
2.049999999999982,1000.0,8.874173e-11,2.586109e-08
2.099999999999982,1000.0,8.750092e-11,3.028318e-08
2.1499999999999817,1000.0,8.634789e-11,3.55476e-08
