V (V), Freq (Hz), C (F), G (S)
-3.0,1000.0,1.18676e-10,2.192096e-07
-2.95,1000.0,1.18461e-10,1.823018e-07
-2.9000000000000004,1000.0,1.186007e-10,1.521472e-07
-2.8500000000000005,1000.0,1.187491e-10,1.26247e-07
-2.8000000000000007,1000.0,1.189362e-10,1.053804e-07
-2.750000000000001,1000.0,1.191315e-10,8.87917e-08
-2.700000000000001,1000.0,1.19373e-10,7.475593e-08
-2.6500000000000012,1000.0,1.195463e-10,6.358663e-08
-2.6000000000000014,1000.0,1.198482e-10,5.506027e-08
-2.5500000000000016,1000.0,1.201274e-10,4.761363e-08
-2.5000000000000018,1000.0,1.203873e-10,4.17372e-08
-2.450000000000002,1000.0,1.207788e-10,3.675881e-08
-2.400000000000002,1000.0,1.210185e-10,3.275255e-08
-2.3500000000000023,1000.0,1.21403e-10,2.945245e-08
-2.3000000000000025,1000.0,1.217145e-10,2.714291e-08
-2.2500000000000027,1000.0,1.220607e-10,2.480992e-08
-2.200000000000003,1000.0,1.224239e-10,2.321544e-08
-2.150000000000003,1000.0,1.2284e-10,2.192645e-08
-2.100000000000003,1000.0,1.232037e-10,2.091651e-08
-2.0500000000000034,1000.0,1.235583e-10,2.003744e-08
-2.0000000000000036,1000.0,1.23986e-10,1.947211e-08
-1.9500000000000037,1000.0,1.243886e-10,1.925832e-08
-1.900000000000004,1000.0,1.247864e-10,1.898905e-08
-1.850000000000004,1000.0,1.251938e-10,1.906337e-08
-1.8000000000000043,1000.0,1.255679e-10,1.885762e-08
-1.7500000000000044,1000.0,1.260941e-10,1.912188e-08
-1.7000000000000046,1000.0,1.264435e-10,1.959708e-08
-1.6500000000000048,1000.0,1.268934e-10,1.966664e-08
-1.600000000000005,1000.0,1.272567e-10,1.988813e-08
-1.5500000000000052,1000.0,1.276592e-10,1.984414e-08
-1.5000000000000053,1000.0,1.281517e-10,2.075002e-08
-1.4500000000000055,1000.0,1.284923e-10,2.074797e-08
-1.4000000000000057,1000.0,1.288946e-10,2.088638e-08
-1.3500000000000059,1000.0,1.291881e-10,2.125091e-08
-1.300000000000006,1000.0,1.295586e-10,2.13005e-08
-1.2500000000000062,1000.0,1.298607e-10,2.15594e-08
-1.2000000000000064,1000.0,1.302289e-10,2.104264e-08
-1.1500000000000066,1000.0,1.305408e-10,2.089968e-08
-1.1000000000000068,1000.0,1.308067e-10,2.094656e-08
-1.050000000000007,1000.0,1.311241e-10,2.002155e-08
-1.000000000000007,1000.0,1.314166e-10,1.992506e-08
-0.9500000000000073,1000.0,1.317738e-10,1.972888e-08
-0.9000000000000075,1000.0,1.319792e-10,1.959929e-08
-0.8500000000000076,1000.0,1.324413e-10,1.889723e-08
-0.8000000000000078,1000.0,1.328063e-10,1.826044e-08
-0.750000000000008,1000.0,1.332226e-10,1.858313e-08
-0.7000000000000082,1000.0,1.337268e-10,1.832586e-08
-0.6500000000000083,1000.0,1.343112e-10,1.805594e-08
-0.6000000000000085,1000.0,1.349207e-10,1.755278e-08
-0.5500000000000087,1000.0,1.356792e-10,1.797046e-08
-0.5000000000000089,1000.0,1.365743e-10,1.769428e-08
-0.45000000000000906,1000.0,1.376348e-10,1.819395e-08
-0.40000000000000924,1000.0,1.387674e-10,1.864692e-08
-0.3500000000000094,1000.0,1.402126e-10,1.93263e-08
-0.3000000000000096,1000.0,1.419129e-10,2.015751e-08
-0.25000000000000977,1000.0,1.439276e-10,2.108297e-08
-0.20000000000000995,1000.0,1.461883e-10,2.202152e-08
-0.15000000000001013,1000.0,1.489677e-10,2.391211e-08
-0.1000000000000103,1000.0,1.520067e-10,2.55737e-08
-0.05000000000001048,1000.0,1.552307e-10,2.749765e-08
-1.0658141036401503e-14,1000.0,1.580643e-10,2.911704e-08
0.049999999999989164,1000.0,1.600063e-10,2.942635e-08
0.09999999999998899,1000.0,1.609334e-10,2.971454e-08
0.1499999999999888,1000.0,1.611392e-10,2.895751e-08
0.19999999999998863,1000.0,1.604744e-10,2.81148e-08
0.24999999999998845,1000.0,1.59029e-10,2.622228e-08
0.2999999999999883,1000.0,1.570963e-10,2.436372e-08
0.3499999999999881,1000.0,1.551364e-10,2.278584e-08
0.3999999999999879,1000.0,1.530082e-10,2.0882e-08
0.44999999999998774,1000.0,1.509383e-10,1.9378e-08
0.49999999999998757,1000.0,1.489837e-10,1.838821e-08
0.5499999999999874,1000.0,1.471085e-10,1.655071e-08
0.5999999999999872,1000.0,1.454086e-10,1.577631e-08
0.649999999999987,1000.0,1.438001e-10,1.480228e-08
0.6999999999999869,1000.0,1.423105e-10,1.382852e-08
0.7499999999999867,1000.0,1.409687e-10,1.330278e-08
0.7999999999999865,1000.0,1.396875e-10,1.271541e-08
0.8499999999999863,1000.0,1.384138e-10,1.247749e-08
0.8999999999999861,1000.0,1.371162e-10,1.223588e-08
0.949999999999986,1000.0,1.357457e-10,1.200144e-08
0.9999999999999858,1000.0,1.343307e-10,1.194234e-08
1.0499999999999856,1000.0,1.328093e-10,1.200189e-08
1.0999999999999854,1000.0,1.310197e-10,1.143603e-08
1.1499999999999853,1000.0,1.291152e-10,1.11344e-08
