V (V), Freq (Hz), C (F), G (S)
-3.0,1000.0,9.69116e-11,2.297645e-07
-2.0,1000.0,1.261774e-10,2.230027e-08
-1.0,1000.0,1.335237e-10,2.030301e-08
0.0,1000.0,1.653876e-10,3.494441e-08
1.0,1000.0,1.248672e-10,1.355093e-08
2.0,1000.0,9.699768e-11,1.217326e-08
3.0,1000.0,7.598694e-11,3.241461e-07
2.0,1000.0,8.012488e-11,1.123863e-08
1.0,1000.0,9.04687e-11,7.520208e-09
0.0,1000.0,1.345328e-10,2.204442e-08
-1.0,1000.0,1.465457e-10,2.222141e-08
-2.0,1000.0,1.289507e-10,2.854554e-08
-3.0,1000.0,1.195506e-10,3.091988e-07
-3.0,10000.0,1.164409e-10,4.442303e-07
-2.0,10000.0,1.211704e-10,2.432674e-07
-1.0,10000.0,1.27713e-10,2.713436e-07
0.0,10000.0,1.561694e-10,4.280219e-07
1.0,10000.0,1.265107e-10,2.373193e-07
2.0,10000.0,8.92399e-11,1.108652e-07
3.0,10000.0,7.429314e-11,4.259005e-07
2.0,10000.0,7.829012e-11,6.509793e-08
1.0,10000.0,8.687102e-11,8.865928e-08
0.0,10000.0,1.281999e-10,3.313318e-07
-1.0,10000.0,1.418302e-10,3.013904e-07
-2.0,10000.0,1.238498e-10,2.630204e-07
-3.0,10000.0,1.166612e-10,4.97349e-07
-3.0,100000.0,1.115139e-10,4.018161e-06
-2.0,100000.0,1.147809e-10,4.220937e-06
-1.0,100000.0,1.201993e-10,4.743649e-06
0.0,100000.0,1.443357e-10,7.263924e-06
1.0,100000.0,1.194915e-10,4.753346e-06
2.0,100000.0,8.51322e-11,1.536891e-06
3.0,100000.0,7.281333e-11,1.222003e-06
2.0,100000.0,7.662403e-11,8.715964e-07
1.0,100000.0,8.365846e-11,1.465447e-06
0.0,100000.0,1.175078e-10,5.147758e-06
-1.0,100000.0,1.336107e-10,5.748401e-06
-2.0,100000.0,1.166992e-10,4.078232e-06
-3.0,100000.0,1.113911e-10,3.936363e-06
-3.0,1000000.0,9.894476e-11,0.0001097394
-2.0,1000000.0,1.011284e-10,0.00011507
-1.0,1000000.0,1.052596e-10,0.0001256849
0.0,1000000.0,1.212092e-10,0.0001736861
1.0,1000000.0,1.047266e-10,0.0001210982
2.0,1000000.0,7.965494e-11,5.298576e-05
3.0,1000000.0,7.104244e-11,3.600423e-05
2.0,1000000.0,7.394134e-11,3.961454e-05
1.0,1000000.0,7.957542e-11,4.911881e-05
0.0,1000000.0,1.016358e-10,0.0001102689
-1.0,1000000.0,1.148752e-10,0.000151096
-2.0,1000000.0,1.025433e-10,0.0001193311
-3.0,1000000.0,9.897966e-11,0.0001099762
