V (V), Freq (Hz), C (F), G (S)
-3.0,1000.0,1.180523e-10,3.831437e-07
-2.95,1000.0,1.179486e-10,2.958923e-07
-2.9000000000000004,1000.0,1.180006e-10,2.367666e-07
-2.8500000000000005,1000.0,1.181476e-10,1.909286e-07
-2.8000000000000007,1000.0,1.182318e-10,1.554846e-07
-2.750000000000001,1000.0,1.184342e-10,1.270688e-07
-2.700000000000001,1000.0,1.18631e-10,1.045392e-07
-2.6500000000000012,1000.0,1.189148e-10,8.689563e-08
-2.6000000000000014,1000.0,1.191147e-10,7.277867e-08
-2.5500000000000016,1000.0,1.194108e-10,6.130865e-08
-2.5000000000000018,1000.0,1.197232e-10,5.279095e-08
-2.450000000000002,1000.0,1.199618e-10,4.522684e-08
-2.400000000000002,1000.0,1.202867e-10,3.931806e-08
-2.3500000000000023,1000.0,1.56605e-10,2.714069e-08
-2.3000000000000025,1000.0,1.222101e-10,2.580101e-08
-2.2500000000000027,1000.0,1.179804e-10,1.647428e-07
-2.200000000000003,1000.0,1.180724e-10,1.385862e-07
-2.150000000000003,1000.0,1.180376e-10,1.153331e-07
-2.100000000000003,1000.0,1.182059e-10,9.649945e-08
-2.0500000000000034,1000.0,1.184167e-10,8.111973e-08
-2.0000000000000036,1000.0,1.186493e-10,6.861731e-08
-1.9500000000000037,1000.0,1.188214e-10,5.86727e-08
-1.900000000000004,1000.0,1.191731e-10,5.024038e-08
-1.850000000000004,1000.0,1.19369e-10,4.396784e-08
-1.8000000000000043,1000.0,1.248208e-10,1.872425e-08
-1.7500000000000044,1000.0,1.252525e-10,1.859103e-08
-1.7000000000000046,1000.0,1.256321e-10,1.899127e-08
-1.6500000000000048,1000.0,1.260408e-10,1.914341e-08
