V (V), Freq (Hz), C (F), G (S)
1.5499999999999838,1000.0,1.100213e-10,1.012588e-08
1.5999999999999837,1000.0,1.075003e-10,1.015569e-08
1.6499999999999835,1000.0,1.050647e-10,9.852787e-09
1.6999999999999833,1000.0,1.026094e-10,1.024057e-08
1.7499999999999831,1000.0,1.003371e-10,1.056108e-08
1.799999999999983,1000.0,9.808044e-11,1.050042e-08
1.8499999999999828,1000.0,9.599952e-11,1.130419e-08
1.8999999999999826,1000.0,9.403142e-11,1.211714e-08
1.9499999999999824,1000.0,9.220745e-11,1.331782e-08
1.9999999999999822,1000.0,9.037887e-11,1.48972e-08
2.049999999999982,1000.0,8.880304e-11,1.714375e-08
2.099999999999982,1000.0,8.732347e-11,1.856273e-08
2.1499999999999817,1000.0,8.58694e-11,2.175377e-08
